,date,name,code,dailyCases,cumulativeCases,dailyDeaths,cumulativeDeaths,newVaccinesGivenByPublishDate,cumVaccinesGivenByPublishDate,newPeopleVaccinatedFirstDoseByPublishDate,cumPeopleVaccinatedFirstDoseByPublishDate,newPeopleVaccinatedSecondDoseByPublishDate,cumPeopleVaccinatedSecondDoseByPublishDate
0,2021-10-17,England,E92000001,38543,7187635,41.0,121021.0,,,,,,
1,2021-10-16,England,E92000001,39624,7149533,123.0,120980.0,50175.0,79411887.0,19735.0,41389496.0,30440.0,38022391.0
2,2021-10-15,England,E92000001,37691,7110513,94.0,120857.0,61264.0,79361712.0,35884.0,41369761.0,25380.0,37991951.0
3,2021-10-14,England,E92000001,38488,7073467,110.0,120763.0,61674.0,79300448.0,38185.0,41333877.0,23489.0,37966571.0
4,2021-10-13,England,E92000001,36458,7035489,101.0,120653.0,57143.0,79238774.0,32315.0,41295692.0,24828.0,37943082.0
5,2021-10-12,England,E92000001,33287,7000356,147.0,120552.0,53083.0,79181631.0,30636.0,41263377.0,22447.0,37918254.0
6,2021-10-11,England,E92000001,32349,6967915,15.0,120405.0,43582.0,79128548.0,23232.0,41232741.0,20350.0,37895807.0
7,2021-10-10,England,E92000001,31096,6936327,34.0,120390.0,24754.0,79084966.0,9111.0,41209509.0,15643.0,37875457.0
8,2021-10-09,England,E92000001,31259,6906211,111.0,120356.0,48189.0,79060212.0,18438.0,41200398.0,29751.0,37859814.0
9,2021-10-08,England,E92000001,32157,6876192,109.0,120245.0,50542.0,79012023.0,25536.0,41181960.0,25006.0,37830063.0
10,2021-10-07,England,E92000001,33305,6845186,71.0,120136.0,49527.0,78961481.0,25319.0,41156424.0,24208.0,37805057.0
11,2021-10-06,England,E92000001,33450,6812848,99.0,120065.0,48654.0,78911954.0,24519.0,41131105.0,24135.0,37780849.0
12,2021-10-05,England,E92000001,28846,6780567,140.0,119966.0,59446.0,78863300.0,35193.0,41106586.0,24253.0,37756714.0
13,2021-10-04,England,E92000001,28251,6752536,13.0,119826.0,55530.0,78803854.0,30784.0,41071393.0,24746.0,37732461.0
14,2021-10-03,England,E92000001,25176,6725105,30.0,119813.0,28222.0,78748324.0,10720.0,41040609.0,17502.0,37707715.0
15,2021-10-02,England,E92000001,26794,6700702,103.0,119783.0,49585.0,78720102.0,18736.0,41029889.0,30849.0,37690213.0
16,2021-10-01,England,E92000001,28836,6674820,80.0,119680.0,61971.0,78670517.0,31978.0,41011153.0,29993.0,37659364.0
17,2021-09-30,England,E92000001,29826,6646963,87.0,119600.0,59007.0,78608546.0,28689.0,40979175.0,30318.0,37629371.0
18,2021-09-29,England,E92000001,29036,6617892,111.0,119513.0,57352.0,78549539.0,27445.0,40950486.0,29907.0,37599053.0
19,2021-09-28,England,E92000001,28808,6590514,141.0,119402.0,58236.0,78492187.0,28566.0,40923041.0,29670.0,37569146.0
20,2021-09-27,England,E92000001,29329,6561706,23.0,119261.0,49294.0,78433951.0,20704.0,40894475.0,28590.0,37539476.0
21,2021-09-26,England,E92000001,25538,6532847,37.0,119238.0,30290.0,78384657.0,8814.0,40873771.0,21476.0,37510886.0
22,2021-09-25,England,E92000001,28087,6507849,104.0,119201.0,60656.0,78354367.0,17607.0,40864957.0,43049.0,37489410.0
23,2021-09-24,England,E92000001,28199,6481363,120.0,119097.0,61433.0,78293711.0,21866.0,40847350.0,39567.0,37446361.0
24,2021-09-23,England,E92000001,29045,6453164,131.0,118977.0,63316.0,78232278.0,21588.0,40825484.0,41728.0,37406794.0
25,2021-09-22,England,E92000001,27317,6425056,121.0,118846.0,58138.0,78168962.0,18462.0,40803896.0,39676.0,37365066.0
26,2021-09-21,England,E92000001,24973,6398633,174.0,118725.0,56172.0,78110824.0,16924.0,40785434.0,39248.0,37325390.0
27,2021-09-20,England,E92000001,26905,6374123,27.0,118551.0,57107.0,78054652.0,15669.0,40768510.0,41438.0,37286142.0
28,2021-09-19,England,E92000001,22173,6347616,34.0,118524.0,40802.0,77997545.0,10344.0,40752841.0,30458.0,37244704.0
29,2021-09-18,England,E92000001,22956,6326046,131.0,118490.0,87762.0,77956743.0,21628.0,40742497.0,66134.0,37214246.0
30,2021-09-17,England,E92000001,23265,6303792,130.0,118359.0,72608.0,77868981.0,17351.0,40720869.0,55257.0,37148112.0
31,2021-09-16,England,E92000001,22949,6281236,123.0,118229.0,77915.0,77796373.0,18974.0,40703518.0,58941.0,37092855.0
32,2021-09-15,England,E92000001,22078,6258872,151.0,118106.0,77216.0,77718458.0,20120.0,40684544.0,57096.0,37033914.0
33,2021-09-14,England,E92000001,19739,6237505,152.0,117955.0,74229.0,77641242.0,17708.0,40664424.0,56521.0,36976818.0
34,2021-09-13,England,E92000001,21077,6218198,32.0,117803.0,70318.0,77567013.0,15511.0,40646716.0,54807.0,36920297.0
35,2021-09-12,England,E92000001,19913,6197654,42.0,117771.0,54626.0,77496695.0,11724.0,40631205.0,42902.0,36865490.0
36,2021-09-11,England,E92000001,23825,6178293,143.0,117729.0,109993.0,77442069.0,23925.0,40619481.0,86068.0,36822588.0
37,2021-09-10,England,E92000001,26653,6155149,114.0,117586.0,100642.0,77332076.0,21879.0,40595556.0,78763.0,36736520.0
38,2021-09-09,England,E92000001,27049,6129372,138.0,117472.0,108598.0,77231434.0,22006.0,40573677.0,86592.0,36657757.0
39,2021-09-08,England,E92000001,29286,6102850,158.0,117334.0,95957.0,77122836.0,20409.0,40551671.0,75548.0,36571165.0
40,2021-09-07,England,E92000001,27545,6074040,183.0,117176.0,95870.0,77026879.0,22866.0,40531262.0,73004.0,36495617.0
41,2021-09-06,England,E92000001,27202,6046799,28.0,116993.0,88035.0,76931009.0,18277.0,40508396.0,69758.0,36422613.0
42,2021-09-05,England,E92000001,27022,6019976,58.0,116965.0,75157.0,76842974.0,15892.0,40490119.0,59265.0,36352855.0
43,2021-09-04,England,E92000001,29614,5993444,102.0,116907.0,150314.0,76767817.0,33987.0,40474227.0,116327.0,36293590.0
44,2021-09-03,England,E92000001,31726,5964760,96.0,116805.0,127736.0,76617503.0,29614.0,40440240.0,98122.0,36177263.0
45,2021-09-02,England,E92000001,28686,5933034,144.0,116709.0,137772.0,76489767.0,33775.0,40410626.0,103997.0,36079141.0
46,2021-09-01,England,E92000001,24723,5904664,184.0,116565.0,139915.0,76351995.0,37829.0,40376851.0,102086.0,35975144.0
47,2021-08-31,England,E92000001,20967,5880134,36.0,116381.0,139621.0,76212080.0,34618.0,40339022.0,105003.0,35873058.0
48,2021-08-30,England,E92000001,21324,5859405,42.0,116345.0,67667.0,76072459.0,15530.0,40304404.0,52137.0,35768055.0
49,2021-08-29,England,E92000001,22501,5838323,49.0,116303.0,85257.0,76004792.0,20547.0,40288874.0,64710.0,35715918.0
50,2021-08-28,England,E92000001,25118,5816071,119.0,116254.0,154574.0,75919535.0,37991.0,40268327.0,116583.0,35651208.0
51,2021-08-27,England,E92000001,27545,5791272,86.0,116135.0,153641.0,75764961.0,38392.0,40230336.0,115249.0,35534625.0
52,2021-08-26,England,E92000001,29417,5764066,121.0,116049.0,173432.0,75611320.0,46165.0,40191944.0,127267.0,35419376.0
53,2021-08-25,England,E92000001,27350,5734967,135.0,115928.0,199870.0,75437888.0,57563.0,40145779.0,142307.0,35292109.0
