,date,name,code,dailyCases,cumulativeCases,dailyDeaths,cumulativeDeaths,newVaccinesGivenByPublishDate,cumVaccinesGivenByPublishDate,newPeopleVaccinatedFirstDoseByPublishDate,cumPeopleVaccinatedFirstDoseByPublishDate,newPeopleVaccinatedSecondDoseByPublishDate,cumPeopleVaccinatedSecondDoseByPublishDate
0,2021-08-26,Portsmouth,E06000044,152,21552.0,0.0,373.0,,,,,,
1,2021-08-25,Portsmouth,E06000044,198,,0.0,373.0,,270815.0,80.0,146228.0,571.0,124587.0
2,2021-08-24,Portsmouth,E06000044,119,,0.0,373.0,,,,,,
3,2021-08-23,Portsmouth,E06000044,133,,0.0,373.0,,,,,,
4,2021-08-22,Portsmouth,E06000044,140,,0.0,373.0,,,,,,
5,2021-08-21,Portsmouth,E06000044,132,,0.0,373.0,,,,,,
6,2021-08-20,Portsmouth,E06000044,119,,0.0,373.0,,,,,,
7,2021-08-19,Portsmouth,E06000044,132,,0.0,373.0,,,,,,
8,2021-08-18,Portsmouth,E06000044,131,,1.0,373.0,,,,,,
9,2021-08-17,Portsmouth,E06000044,92,,0.0,372.0,,,,,,
10,2021-08-16,Portsmouth,E06000044,77,,0.0,372.0,,,,,,
11,2021-08-15,Portsmouth,E06000044,140,,0.0,372.0,,,,,,
12,2021-08-14,Portsmouth,E06000044,115,,1.0,372.0,,,,,,
13,2021-08-13,Portsmouth,E06000044,113,,0.0,371.0,,,,,,
14,2021-08-12,Portsmouth,E06000044,106,,0.0,371.0,,,,,,
15,2021-08-11,Portsmouth,E06000044,112,,0.0,371.0,,,,,,
16,2021-08-10,Portsmouth,E06000044,76,,0.0,371.0,,,,,,
17,2021-08-09,Portsmouth,E06000044,84,,0.0,371.0,,,,,,
18,2021-08-08,Portsmouth,E06000044,112,,0.0,371.0,,,,,,
19,2021-08-07,Portsmouth,E06000044,88,,0.0,371.0,,,,,,
20,2021-08-06,Portsmouth,E06000044,129,,0.0,371.0,,,,,,
21,2021-08-05,Portsmouth,E06000044,106,,1.0,371.0,,,,,,
22,2021-08-04,Portsmouth,E06000044,108,,0.0,370.0,,,,,,
23,2021-08-03,Portsmouth,E06000044,73,,0.0,370.0,,,,,,
24,2021-08-02,Portsmouth,E06000044,95,,0.0,370.0,,,,,,
25,2021-08-01,Portsmouth,E06000044,83,,1.0,370.0,,,,,,
26,2021-07-31,Portsmouth,E06000044,83,,0.0,369.0,,,,,,
27,2021-07-30,Portsmouth,E06000044,99,,0.0,369.0,,,,,,
28,2021-07-29,Portsmouth,E06000044,119,,0.0,369.0,,,,,,
29,2021-07-28,Portsmouth,E06000044,106,,0.0,369.0,,,,,,
30,2021-07-27,Portsmouth,E06000044,69,,1.0,369.0,,,,,,
31,2021-07-26,Portsmouth,E06000044,96,,0.0,368.0,,,,,,
32,2021-07-25,Portsmouth,E06000044,100,,0.0,368.0,,,,,,
33,2021-07-24,Portsmouth,E06000044,104,,0.0,368.0,,,,,,
34,2021-07-23,Portsmouth,E06000044,135,,0.0,368.0,,,,,,
35,2021-07-22,Portsmouth,E06000044,165,,0.0,368.0,,,,,,
36,2021-07-21,Portsmouth,E06000044,194,,1.0,368.0,,,,,,
37,2021-07-20,Portsmouth,E06000044,189,,1.0,367.0,,,,,,
38,2021-07-19,Portsmouth,E06000044,127,,0.0,366.0,,,,,,
39,2021-07-18,Portsmouth,E06000044,193,,0.0,366.0,,,,,,
40,2021-07-17,Portsmouth,E06000044,127,,0.0,366.0,,,,,,
41,2021-07-16,Portsmouth,E06000044,163,,1.0,366.0,,,,,,
42,2021-07-15,Portsmouth,E06000044,176,,0.0,365.0,,,,,,
43,2021-07-14,Portsmouth,E06000044,96,,0.0,365.0,,,,,,
44,2021-07-13,Portsmouth,E06000044,109,,0.0,365.0,,,,,,
45,2021-07-12,Portsmouth,E06000044,92,,0.0,365.0,,,,,,
46,2021-07-11,Portsmouth,E06000044,76,,0.0,365.0,,,,,,
47,2021-07-10,Portsmouth,E06000044,95,,0.0,365.0,,,,,,
48,2021-07-09,Portsmouth,E06000044,84,,0.0,365.0,,,,,,
49,2021-07-08,Portsmouth,E06000044,91,,0.0,365.0,,,,,,
50,2021-07-07,Portsmouth,E06000044,88,,0.0,365.0,,,,,,
51,2021-07-06,Portsmouth,E06000044,48,,0.0,365.0,,,,,,
52,2021-07-05,Portsmouth,E06000044,42,,0.0,365.0,,,,,,
53,2021-07-04,Portsmouth,E06000044,63,,0.0,365.0,,,,,,
54,2021-07-03,Portsmouth,E06000044,55,,0.0,365.0,,,,,,
55,2021-07-02,Portsmouth,E06000044,59,,0.0,365.0,,,,,,
56,2021-07-01,Portsmouth,E06000044,80,,0.0,365.0,,,,,,
57,2021-06-30,Portsmouth,E06000044,77,,0.0,365.0,,,,,,
58,2021-06-29,Portsmouth,E06000044,44,,0.0,365.0,,,,,,
59,2021-06-28,Portsmouth,E06000044,56,,0.0,365.0,,,,,,
60,2021-06-27,Portsmouth,E06000044,35,,0.0,365.0,,,,,,
61,2021-06-26,Portsmouth,E06000044,57,,0.0,365.0,,,,,,
62,2021-06-25,Portsmouth,E06000044,42,,0.0,365.0,,,,,,
63,2021-06-24,Portsmouth,E06000044,38,,0.0,365.0,,,,,,
64,2021-06-23,Portsmouth,E06000044,53,,0.0,365.0,,,,,,
65,2021-06-22,Portsmouth,E06000044,24,,0.0,365.0,,,,,,
66,2021-06-21,Portsmouth,E06000044,34,,0.0,365.0,,,,,,
67,2021-06-20,Portsmouth,E06000044,35,,0.0,365.0,,,,,,
68,2021-06-19,Portsmouth,E06000044,33,,0.0,365.0,,,,,,
69,2021-06-18,Portsmouth,E06000044,32,,0.0,365.0,,,,,,
70,2021-06-17,Portsmouth,E06000044,60,,0.0,365.0,,,,,,
71,2021-06-16,Portsmouth,E06000044,26,,0.0,365.0,,,,,,
72,2021-06-15,Portsmouth,E06000044,10,,0.0,371.0,,,,,,
73,2021-06-14,Portsmouth,E06000044,16,,0.0,371.0,,,,,,
74,2021-06-13,Portsmouth,E06000044,16,,0.0,371.0,,,,,,
75,2021-06-12,Portsmouth,E06000044,3,,0.0,371.0,,,,,,
76,2021-06-11,Portsmouth,E06000044,9,,0.0,371.0,,,,,,
77,2021-06-10,Portsmouth,E06000044,9,,0.0,371.0,,,,,,
78,2021-06-09,Portsmouth,E06000044,11,,0.0,371.0,,,,,,
79,2021-06-08,Portsmouth,E06000044,9,,0.0,371.0,,,,,,
80,2021-06-07,Portsmouth,E06000044,17,,0.0,371.0,,,,,,
81,2021-06-06,Portsmouth,E06000044,3,,0.0,371.0,,,,,,
82,2021-06-05,Portsmouth,E06000044,8,,0.0,371.0,,,,,,
83,2021-06-04,Portsmouth,E06000044,5,,0.0,371.0,,,,,,
84,2021-06-03,Portsmouth,E06000044,9,,0.0,371.0,,,,,,
85,2021-06-02,Portsmouth,E06000044,6,,0.0,371.0,,,,,,
86,2021-06-01,Portsmouth,E06000044,6,,0.0,371.0,,,,,,
87,2021-05-31,Portsmouth,E06000044,7,,0.0,371.0,,,,,,
88,2021-05-30,Portsmouth,E06000044,9,,1.0,371.0,,,,,,
89,2021-05-29,Portsmouth,E06000044,10,,0.0,370.0,,,,,,
90,2021-05-28,Portsmouth,E06000044,5,,1.0,370.0,,,,,,
91,2021-05-27,Portsmouth,E06000044,13,,0.0,369.0,,,,,,
92,2021-05-26,Portsmouth,E06000044,16,,0.0,369.0,,,,,,
93,2021-05-25,Portsmouth,E06000044,7,,0.0,369.0,,,,,,
94,2021-05-24,Portsmouth,E06000044,5,,0.0,369.0,,,,,,
95,2021-05-23,Portsmouth,E06000044,5,,0.0,369.0,,,,,,
96,2021-05-22,Portsmouth,E06000044,10,,0.0,369.0,,,,,,
97,2021-05-21,Portsmouth,E06000044,9,,0.0,369.0,,,,,,
98,2021-05-20,Portsmouth,E06000044,10,,0.0,369.0,,,,,,
99,2021-05-19,Portsmouth,E06000044,12,,0.0,369.0,,,,,,
100,2021-05-18,Portsmouth,E06000044,0,,0.0,369.0,,,,,,
101,2021-05-17,Portsmouth,E06000044,17,,0.0,369.0,,,,,,
102,2021-05-16,Portsmouth,E06000044,5,,0.0,369.0,,,,,,
103,2021-05-15,Portsmouth,E06000044,13,,0.0,369.0,,,,,,
104,2021-05-14,Portsmouth,E06000044,4,,0.0,369.0,,,,,,
105,2021-05-13,Portsmouth,E06000044,6,,1.0,369.0,,,,,,
106,2021-05-12,Portsmouth,E06000044,4,,0.0,368.0,,,,,,
107,2021-05-11,Portsmouth,E06000044,4,,0.0,368.0,,,,,,
108,2021-05-10,Portsmouth,E06000044,5,,0.0,368.0,,,,,,
109,2021-05-09,Portsmouth,E06000044,1,,0.0,368.0,,,,,,
110,2021-05-08,Portsmouth,E06000044,3,,0.0,368.0,,,,,,
111,2021-05-07,Portsmouth,E06000044,3,,0.0,368.0,,,,,,
112,2021-05-06,Portsmouth,E06000044,6,,0.0,368.0,,,,,,
113,2021-05-05,Portsmouth,E06000044,7,,0.0,368.0,,,,,,
114,2021-05-04,Portsmouth,E06000044,6,,0.0,368.0,,,,,,
115,2021-05-03,Portsmouth,E06000044,4,,0.0,368.0,,,,,,
116,2021-05-02,Portsmouth,E06000044,5,,0.0,368.0,,,,,,
117,2021-05-01,Portsmouth,E06000044,2,,0.0,368.0,,,,,,
118,2021-04-30,Portsmouth,E06000044,3,,0.0,368.0,,,,,,
119,2021-04-29,Portsmouth,E06000044,2,,0.0,368.0,,,,,,
120,2021-04-28,Portsmouth,E06000044,10,,0.0,368.0,,,,,,
121,2021-04-27,Portsmouth,E06000044,6,,0.0,368.0,,,,,,
122,2021-04-26,Portsmouth,E06000044,3,,0.0,368.0,,,,,,
123,2021-04-25,Portsmouth,E06000044,1,,0.0,368.0,,,,,,
124,2021-04-24,Portsmouth,E06000044,3,,0.0,368.0,,,,,,
125,2021-04-23,Portsmouth,E06000044,5,,0.0,368.0,,,,,,
126,2021-04-22,Portsmouth,E06000044,3,,0.0,368.0,,,,,,
127,2021-04-21,Portsmouth,E06000044,3,,0.0,368.0,,,,,,
128,2021-04-20,Portsmouth,E06000044,9,,0.0,368.0,,,,,,
129,2021-04-19,Portsmouth,E06000044,10,,0.0,368.0,,,,,,
130,2021-04-18,Portsmouth,E06000044,2,,0.0,368.0,,,,,,
131,2021-04-17,Portsmouth,E06000044,7,,0.0,368.0,,,,,,
